zip_code,submarket,city,county,representative_address,sv_real_estate,sv_apartments_for_sale,sv_homes_for_sale,sv_homes_for_sale_alt,sv_real_estate_alt,total_monthly_sv,sv_rank,total_population_zip,total_population_city,total_population_county,median_age_zip,median_age_city,median_age_county,population_density_zip,population_density_city,population_density_county,population_growth_pct_zip,population_growth_pct_city,population_growth_pct_county,avg_household_size_zip,avg_household_size_city,avg_household_size_county,median_hhi_zip,median_hhi_city,median_hhi_county,median_hhi_2029_zip,median_hhi_2029_city,median_hhi_2029_county,hhi_growth_5yr_pct_zip,hhi_growth_5yr_pct_city,hhi_growth_5yr_pct_county,per_capita_income_zip,per_capita_income_city,per_capita_income_county,unemployment_rate_zip,unemployment_rate_city,unemployment_rate_county,median_home_value_zip,median_home_value_city,median_home_value_county,median_home_value_2029_zip,median_home_value_2029_city,median_home_value_2029_county,home_value_growth_5yr_pct_zip,home_value_growth_5yr_pct_city,home_value_growth_5yr_pct_county,median_rent_zip,median_rent_city,median_rent_county,renter_units_zip,renter_units_city,renter_units_county,owner_units_zip,owner_units_city,owner_units_county,renter_units_2029_zip,renter_units_2029_city,renter_units_2029_county,renter_share_pct_zip,renter_share_pct_city,renter_share_pct_county,mgmt_occupations_zip,mgmt_occupations_city,mgmt_occupations_county,sales_occupations_zip,sales_occupations_city,sales_occupations_county,production_occupations_zip,production_occupations_city,production_occupations_county,construction_occupations_zip,construction_occupations_city,construction_occupations_county,white_collar_share_pct_zip,white_collar_share_pct_city,white_collar_share_pct_county,blue_collar_share_pct_zip,blue_collar_share_pct_city,blue_collar_share_pct_county,crime_total_index_zip,crime_personal_index_zip,crime_property_index_zip,crime_total_index_city,crime_total_index_state,crime_zip_vs_city_ratio,crime_zip_vs_state_ratio,safety_label,multifamily_opportunity_score,blog_url_slug,blog_post_status
66208,Johnson County KS,"Prairie Village, KS","Johnson County, KS","7700 Mission Rd, Prairie Village, KS 66208",20,0,260,260,20,560,9,21621,23399,631366,40.1,40.7,38.9,3482.9,3767.7,1333.1,0.03,0.3,0.57,2.34,2.28,2.51,117816,107595,104938,139047,125641,118287,18.02,16.77,12.72,71128,66443,57707,2.3,2.4,2.5,447500,436954,394830,465896,457987,412323,4.11,4.81,4.43,1477,1471,1239,1403,2178,80116,7696,7953,169278,1309,2063,83375,15.42,21.5,32.12,2180,2257,55832,1253,1477,35970,127,164,10687,142,169,7851,92.73,91.81,83.2,7.27,8.19,16.8,52,9,60,,871,,6.0,,35.6,66208-real-estate-kansas-city,not started
64145,KCMO Core,"Kansas City, MO","Jackson County, MO","12500 Wornall Rd, Kansas City, MO 64145",0,0,140,140,0,280,20,5359,520858,726617,55.1,35.8,37.4,942.8,1655.2,1202,0.46,0.43,0.12,2.16,2.28,2.35,86339,65404,64942,102854,76496,76038,19.13,16.96,17.09,58326,40144,38972,1.8,3.5,3.5,353485,262370,247787,391629,310549,302390,10.79,18.36,22.04,1396,1097,1037,535,110717,134222,1866,113830,170115,598,114376,136320,22.28,49.31,44.1,417,33009,41731,209,21377,32758,128,14385,20160,37,10161,18433,79.14,68.9,65.87,20.86,31.1,34.13,,,,,,,,,35.3,64145-real-estate-kansas-city,not started
66204,Johnson County KS,"Overland Park, KS","Johnson County, KS","8100 Marty St, Overland Park, KS 66204",0,0,140,140,0,280,22,19983,205979,631366,36.5,39.3,38.9,4050,2738.4,1333.1,0.65,0.43,0.57,2.06,2.39,2.51,73276,103061,104938,81074,116673,118287,10.64,13.21,12.72,44985,60312,57707,3.8,2.5,2.5,280826,398654,394830,302330,414052,412323,7.66,3.86,4.43,1287,1308,1239,4911,33071,80116,4635,52426,169278,5075,33599,83375,51.45,38.68,32.12,1211,18069,55832,883,12738,35970,420,2495,10687,326,1670,7851,73.73,88.09,83.2,26.27,11.91,16.8,,,,,,,,,35.1,66204-real-estate-kansas-city,not started
64133,KCMO Core,"Raytown, MO","Jackson County, MO","10500 E 47th St, Kansas City, MO 64133",10,0,210,210,10,440,11,34323,29366,726617,40.6,41.2,37.4,2078.1,2956.9,1202,-0.27,-0.34,0.12,2.36,2.33,2.35,61075,61733,64942,72063,71830,76038,17.99,16.36,17.09,32831,34385,38972,3.1,3.1,3.5,192952,181109,247787,258640,235211,302390,34.04,29.87,22.04,967,1033,1037,5297,4559,134222,9065,7881,170115,5144,4403,136320,36.88,36.65,44.1,1576,1471,41731,1519,1376,32758,1167,1095,20160,1249,1215,18433,56.16,55.21,65.87,43.84,44.79,34.13,,,,,,,,,34.7,64133-real-estate-kansas-city,not started
64015,KCMO/MO Suburbs,"Blue Springs, MO","Jackson County, MO","1200 NW 7 Hwy, Blue Springs, MO 64015",0,0,50,50,0,100,40,29041,59337,726617,36.5,37.3,37.4,2436.7,2616.2,1202,0.19,0.07,0.12,2.7,2.67,2.35,84481,84303,64942,101916,101725,76038,20.64,20.67,17.09,39606,40382,38972,2.4,2.5,3.5,253695,268305,247787,319736,325314,302390,26.03,21.25,22.04,1168,1101,1037,3641,6899,134222,7033,15237,170115,3609,6847,136320,34.11,31.17,44.1,1747,3613,41731,1646,3499,32758,514,1415,20160,638,1562,18433,74.65,70.49,65.87,25.35,29.51,34.13,,,,,,,,,33.8,64015-real-estate-kansas-city,not started
64130,KCMO Core,"Kansas City, MO","Jackson County, MO","5500 Prospect Ave, Kansas City, MO 64130",0,0,40,40,0,80,42,13552,520858,726617,35.1,35.8,37.4,1384.2,1655.2,1202,-0.25,0.43,0.12,2.34,2.28,2.35,41121,65404,64942,45317,76496,76038,10.2,16.96,17.09,21032,40144,38972,5.9,3.5,3.5,99718,262370,247787,188220,310549,302390,88.75,18.36,22.04,791,1097,1037,3606,110717,134222,2091,113830,170115,3543,114376,136320,63.3,49.31,44.1,468,33009,41731,311,21377,32758,460,14385,20160,319,10161,18433,50.0,68.9,65.87,50.0,31.1,34.13,,,,,,,,,33.4,64130-real-estate-kansas-city,not started
64101,KCMO Core,"Kansas City, MO","Jackson County, MO","1500 Liberty St, Kansas City, MO 64101",0,0,0,0,0,0,54,268,520858,726617,32.8,35.8,37.4,673.9,1655.2,1202,-0.22,0.43,0.12,1.25,2.28,2.35,83931,65404,64942,92267,76496,76038,9.93,16.96,17.09,104936,40144,38972,2,3.5,3.5,0,262370,247787,0,310549,302390,,18.36,22.04,1154,1097,1037,212,110717,134222,3,113830,170115,215,114376,136320,98.6,49.31,44.1,32,33009,41731,16,21377,32758,1,14385,20160,6,10161,18433,87.27,68.9,65.87,12.73,31.1,34.13,,,,,,,,,33.2,64101-real-estate-kansas-city,not started
64102,KCMO Core,"Kansas City, MO","Jackson County, MO","1410 W 13th St, Kansas City, MO 64102",0,0,0,0,0,0,55,268,520858,726617,32.8,35.8,37.4,673.9,1655.2,1202,-0.22,0.43,0.12,1.25,2.28,2.35,83931,65404,64942,92267,76496,76038,9.93,16.96,17.09,104936,40144,38972,2,3.5,3.5,0,262370,247787,0,310549,302390,,18.36,22.04,1154,1097,1037,212,110717,134222,3,113830,170115,215,114376,136320,98.6,49.31,44.1,32,33009,41731,16,21377,32758,1,14385,20160,6,10161,18433,87.27,68.9,65.87,12.73,31.1,34.13,,,,,,,,,33.2,64102-real-estate-kansas-city,not started
64057,KCMO/MO Suburbs,"Independence, MO","Jackson County, MO","19500 E R D Mize Rd, Independence, MO 64057",0,0,140,140,0,280,23,16269,123133,726617,42.7,40.2,37.4,1000.4,1578.8,1202,0.19,-0.02,0.12,2.3,2.37,2.35,69799,58075,64942,81251,67631,76038,16.41,16.45,17.09,40003,32641,38972,4.7,4.3,3.5,271341,197704,247787,309628,263368,302390,14.11,33.21,22.04,1071,904,1037,2855,20192,134222,4015,31146,170115,2841,19954,136320,41.56,39.33,44.1,801,5319,41731,738,5241,32758,286,4055,20160,395,3740,18433,69.32,57.53,65.87,30.68,42.47,34.13,,,,,,,,,33.1,64057-real-estate-kansas-city,not started
64113,KCMO Core,"Kansas City, MO","Jackson County, MO","6300 Brookside Plaza, Kansas City, MO 64113",10,0,590,590,10,1200,4,11612,520858,726617,42.3,35.8,37.4,4621.3,1655.2,1202,-0.32,0.43,0.12,2.46,2.28,2.35,174993,65404,64942,187887,76496,76038,7.37,16.96,17.09,93155,40144,38972,1,3.5,3.5,472601,262370,247787,488144,310549,302390,3.29,18.36,22.04,1250,1097,1037,291,110717,134222,4433,113830,170115,278,114376,136320,6.16,49.31,44.1,1411,33009,41731,751,21377,32758,44,14385,20160,40,10161,18433,96.26,68.9,65.87,3.74,31.1,34.13,126,100,131,444,380,28.4,33.2,Below Avg,32.6,64113-real-estate-kansas-city,not started
